mz,intensity,relative_intensity_percent
50.0,40.484907435579764,2.23537421029887
50.1,16.282786087671077,0.8990540524295489
50.2,48.51312152451624,2.6786520603896156
50.3,51.93766489504185,2.8677382265048252
50.4,0.0,0.0
50.5,11.573268876478277,0.6390180542341566
50.6,37.31612725701114,2.0604100091197073
50.7,29.32513333781552,1.6191872707437174
50.8,34.7175791649228,1.916931173246894
50.9,19.667709303675558,1.0859525916676187
51.0,50.854163547530916,2.8079126983643943
51.1,49.027754837721076,2.7070675393660535
51.2,36.21855255610189,1.9998074207553136
51.3,55.322841725424595,3.0546507690610807
51.4,43.45016816053682,2.3991010846144025
51.5,19.570235668101713,1.0805705847680709
51.6,41.677514113484975,2.3012239893816453
51.7,17.782613185078016,0.98186700732603
51.8,50.85710542353091,2.8080751340510943
51.9,34.14883360224745,1.8855278863541325
52.0,31.722477456185306,1.7515566289778388
52.1,22.795768200729057,1.2586683672414103
52.2,57.060744096132545,3.150609050444815
52.3,32.27596932276156,1.7821176830230656
52.4,27.350099201064072,1.5101357586270305
52.5,28.72409609121187,1.5860009984859706
52.6,44.646565339960276,2.465160156242837
52.7,41.645493158553414,2.2994559523185236
52.8,42.49918700872779,2.3465926592310216
52.9,42.827278054141885,2.3647082066783187
53.0,73.6246568156683,4.065185510173885
53.1,27.76202970507692,1.532880501876622
53.2,25.859630876712327,1.4278395483954818
53.3,20.434590891538203,1.1282959594174147
53.4,46.172629606358925,2.5494217964551646
53.5,55.40900126897605,3.0594080683566887
53.6,33.03894576221225,1.8242454279988347
53.7,19.969683414674495,1.102626092551351
53.8,20.254338117557687,1.1183433022961893
53.9,46.80817018084461,2.5845131700013293
54.0,48.47857508166196,2.6767445785079564
54.1,44.879276829493506,2.478009321403226
54.2,23.1258252688035,1.276892468632144
54.3,39.286403815200956,2.1691988315306796
54.4,37.21034456453311,2.0545692176337043
54.5,39.04889474112223,2.1560847677341317
54.6,50.800718003067416,2.8049617025657945
54.7,39.14221987794428,2.16123771527036
54.8,47.340444135294106,2.6139026770042406
54.9,36.33892325080005,2.006453688800564
55.0,40.32914917641971,2.2267740178414352
55.1,46.49068806509372,2.5669833946175045
55.2,8.901195242598007,0.49147950548731784
55.3,29.378418105568578,1.6221293892560666
55.4,26.66829222272968,1.4724897855395123
55.5,23.63769873161985,1.305155562466229
55.6,30.187439477919693,1.6667995052545268
55.7,62.05144360221912,3.4261705293739437
55.8,19.560039917521625,1.0800076263881453
55.9,52.57651038264666,2.9030120808326374
56.0,4.858344110915514,0.26825347563357743
56.1,29.124569460256055,1.6081131360151804
56.2,38.0845551718901,2.1028387573174756
56.3,45.70950196446701,2.5238502031791015
56.4,47.96207843627138,2.6482262156427545
56.5,49.44275023359866,2.7299815106234573
56.6,28.887948699528124,1.5950481204413107
56.7,26.845167732037787,1.4822559669879931
56.8,50.613565862628775,2.794628096917703
56.9,31.72902215213093,1.7519179943719523
57.0,12.212646179917403,0.6743212727738679
57.1,14.77833014793735,0.815985515998707
57.2,18.629858851970997,1.0286476777912807
57.3,44.13139339296775,2.436714936601197
57.4,37.74866324927018,2.084292484426349
57.5,47.61623637321983,2.6291305457363294
57.6,27.499452365942382,1.5183822937963831
57.7,38.04621443938086,2.100721773728184
57.8,46.45562709141206,2.5650475029156237
57.9,29.629262285035708,1.6359797509118672
58.0,43.42195427603341,2.39754325494932
58.1,23.287833060800278,1.285837729052297
58.2,28.670030761828706,1.5830157812623238
58.3,28.33621790803008,1.5645843041585394
58.4,13.684886379397287,0.755611017069796
58.5,43.97800465414047,2.428245577211642
58.6,26.765757876350975,1.4778713517155408
58.7,35.442394137098375,1.956951832763478
58.8,43.87343986030636,2.4224720320006545
58.9,43.26006116853899,2.3886043268340953
59.0,47.201931961510155,2.6062547271705463
59.1,33.454761278830375,1.8472046822238641
59.2,27.61063038320523,1.5245209881465427
59.3,33.797572203684815,1.8661329878312731
59.4,4.862980188755461,0.2685094566768056
59.5,9.189475496384425,0.5073969000294191
59.6,11.43140697762076,0.631185149326699
59.7,17.292057103173327,0.9547809527033317
59.8,42.44093608102186,2.343376334191203
59.9,18.94887700351891,1.0462622653933928
60.0,28.443074027290987,1.5704843649055853
60.1,58.638609360149175,3.237730882799789
60.2,28.842248520894337,1.5925247850258457
60.3,48.53278023240756,2.6797375159682897
60.4,18.45488175982221,1.0189863174484204
60.5,31.56462395838266,1.7428407479163601
60.6,18.16460301160954,1.002958576034291
60.7,29.164904633789874,1.6103402426679225
60.8,50.39554647423312,2.7825901561384074
60.9,4.180732382537723,0.23083914327720495
61.0,43.09462558382543,2.3794698008351696
61.1,39.556740841981004,2.184125490773129
61.2,24.585300797457702,1.3574774116138517
61.3,9.253458621007816,0.5109297283285834
61.4,36.58333113884965,2.019948670618395
61.5,25.756631236851558,1.4221524231629197
61.6,39.47817180438467,2.179787301272503
61.7,35.68583861942197,1.9703936201330468
61.8,64.12702004377648,3.540773484965333
61.9,30.989098705485564,1.7110631204202607
62.0,16.87704513280643,0.9318660662854817
62.1,38.52946142921369,2.127404256823786
62.2,39.26494031149177,2.168013724148861
62.3,59.772876354327856,3.3003594361789657
62.4,50.342002426462415,2.779633721479588
62.5,41.73617906469117,2.3044631747295043
62.6,61.65445204195211,3.4042506399203427
62.7,13.919765022188685,0.7685798415998101
62.8,23.80447241050454,1.3143639713363422
62.9,18.64413305470055,1.0294358279112976
63.0,28.308423543196177,1.5630496382724877
63.1,10.54714934398644,0.5823608630755488
63.2,46.762717042659276,2.582003474924508
63.3,31.332491452222083,1.7300235513235536
63.4,8.860486698952158,0.48923178320341354
63.5,17.05707653826425,0.9418065005434737
63.6,40.98324925410352,2.2628901543778834
63.7,50.42877822209886,2.784425047134773
63.8,71.28615605045215,3.936065187751355
63.9,87.79702438813193,4.847712801875659
64.0,42.809369798967936,2.363719402348434
64.1,17.540813839426445,0.9685160561796866
64.2,0.0,0.0
64.3,40.17630632218905,2.2183347994705063
64.4,20.72706028441413,1.1444446572791283
64.5,27.886069316765663,1.5397293491776984
64.6,24.347257616923457,1.3443338571287518
64.7,32.833264044505064,1.8128887117206953
64.8,54.55764415417758,3.01240038429064
64.9,38.1993742140162,2.109178490859619
65.0,32.51957293330361,1.7955682566573972
65.1,16.735732449135387,0.9240634862951725
65.2,5.2357069953215785,0.2890895677270959
65.3,26.628957636680045,1.4703179263258526
65.4,34.41691408527023,1.9003299505304465
65.5,67.21023844443789,3.7110133924796167
65.6,37.73494138651195,2.0835348317584796
65.7,53.08181119841504,2.9309122659524616
65.8,26.407679226295265,1.4581000386437046
65.9,14.068512204493558,0.776792917440678
66.0,18.027898279817304,0.9954104241122333
66.1,22.348430838356446,1.2339686342670415
66.2,73.71745518383295,4.0703093721780945
66.3,20.622539773961048,1.1386735571750741
66.4,50.50280566725421,2.7885124726035824
66.5,19.159810794433525,1.0579089748996797
66.6,52.18331423173639,2.881301754911004
66.7,42.34661738990553,2.3381685275534805
66.8,32.600517842154375,1.8000376298920508
66.9,34.68877452956219,1.915340725272556
67.0,23.63882148227097,1.305217555144713
67.1,43.45679962667745,2.399467241024932
67.2,27.24029735386596,1.504073049508567
67.3,13.37159625218953,0.7383127023381684
67.4,12.432123662246855,0.6864397222113838
67.5,38.54408251899815,2.1282115603129355
67.6,63.863642615387825,3.5262310999560134
67.7,38.32234904432189,2.115968546255414
67.8,33.30951013002211,1.8391846398765046
67.9,40.59237051284577,2.241307784232861
68.0,58.95803135072285,3.2553677683741693
68.1,39.40138502454941,2.1755475191361904
