Alcohol_Content,Sugar_Level,Acidity,Tannin_Level,Sulfite_Concentration,Cluster
0.548813504,0.715189366,0.602763376,0.544883183,0.423654799,1
0.645894113,0.437587211,0.891773001,0.963662761,0.383441519,1
0.791725038,0.52889492,0.568044561,0.925596638,0.071036058,1
0.0871293,0.020218397,0.832619846,0.778156751,0.870012148,1
0.978618342,0.799158564,0.461479362,0.780529176,0.118274426,1
0.639921021,0.143353287,0.944668917,0.521848322,0.41466194,1
0.264555612,0.774233689,0.456150332,0.568433949,0.0187898,2
0.617635497,0.612095723,0.616933997,0.943748079,0.681820299,1
0.359507901,0.437031954,0.697631196,0.060225472,0.666766715,0
0.67063787,0.210382561,0.128926298,0.315428351,0.363710771,0
0.57019677,0.438601513,0.988373838,0.102044811,0.208876756,0
0.161309518,0.653108325,0.253291603,0.466310773,0.244425592,2
0.158969584,0.110375141,0.656329589,0.138182951,0.196582362,0
0.368725171,0.82099323,0.097101276,0.837944907,0.096098408,2
0.976459465,0.468651202,0.976761088,0.60484552,0.739263579,1
0.039187792,0.282806963,0.120196561,0.296140198,0.118727719,2
0.317983179,0.414262995,0.064147496,0.692472119,0.566601454,2
0.265389491,0.523248053,0.093940511,0.575946496,0.929296198,2
0.318568952,0.66741038,0.131797862,0.716327204,0.289406093,2
0.183191362,0.586512935,0.020107546,0.828940029,0.004695476,2
0.677816537,0.270007973,0.735194022,0.962188545,0.248753144,1
0.576157334,0.592041931,0.572251906,0.223081633,0.952749012,0
0.447125379,0.846408672,0.699479275,0.297436951,0.81379782,0
0.396505741,0.881103197,0.581272873,0.881735362,0.69253159,1
0.72525428,0.501324382,0.956083635,0.643990199,0.423855049,1
0.606393214,0.019193198,0.301574817,0.660173537,0.290077607,1
0.618015429,0.428768701,0.135474064,0.298282326,0.569964911,0
0.590872761,0.574325249,0.65320082,0.65210327,0.431418435,1
0.896546596,0.36756187,0.435864925,0.891923355,0.806193989,1
0.703888584,0.100226887,0.919482614,0.7142413,0.998847007,1
0.149448305,0.868126057,0.162492935,0.615559564,0.123819983,2
0.848008229,0.807318959,0.569100739,0.407183297,0.069166995,1
0.697428773,0.453542683,0.722055599,0.866382326,0.975521505,1
0.855803342,0.011714084,0.359978064,0.729990562,0.171629677,1
0.521036606,0.054337988,0.199996525,0.018521794,0.793697703,0
0.223924688,0.345351681,0.928081293,0.704414402,0.03183893,1
0.164694156,0.621478401,0.577228589,0.237892821,0.934213998,0
0.613965956,0.535632803,0.589909976,0.73012203,0.311944995,1
0.398221062,0.209843749,0.186193006,0.94437239,0.739550795,2
0.490458809,0.227414628,0.254356482,0.05802916,0.434416626,0
0.311795882,0.696343489,0.377751839,0.179603678,0.024678728,0
0.067249631,0.679392773,0.453696845,0.536579211,0.896671293,2
0.990338947,0.216896984,0.663078203,0.263322377,0.020650999,0
0.758378654,0.320017151,0.383463894,0.588317114,0.831048455,1
0.628981844,0.872650655,0.273542035,0.798046834,0.185635944,2
0.952791657,0.687488276,0.215507677,0.94737059,0.730855807,1
0.253941643,0.213311977,0.518200714,0.025662718,0.207470075,0
0.424685469,0.37416998,0.463575424,0.277628706,0.586784346,0
0.863855606,0.117531856,0.517379107,0.132068106,0.716859681,0
0.396059703,0.565421312,0.183279836,0.144847759,0.488056281,0
0.355612738,0.940431945,0.765325254,0.74866362,0.90371974,1
0.083422435,0.55219247,0.584476069,0.961936379,0.292147527,2
0.24082878,0.100293942,0.01642963,0.929529317,0.669916547,2
0.785152912,0.281730106,0.586410166,0.063955266,0.485627596,0
0.97749514,0.876505245,0.338158952,0.961570155,0.231701626,1
0.949318822,0.941377705,0.799202587,0.630447937,0.874287967,1
0.293020285,0.848943555,0.617876692,0.013236858,0.347233518,0
0.148140861,0.98182939,0.478370307,0.497391365,0.639472516,2
0.368584606,0.136900272,0.822117733,0.189847912,0.511318983,0
0.224317029,0.097844484,0.862191517,0.972919489,0.960834658,1
0.906555499,0.774047333,0.333145152,0.08110139,0.407241171,0
0.232234142,0.132487635,0.053427182,0.725594364,0.011427459,2
0.770580749,0.146946645,0.079522083,0.089603034,0.672047807,0
0.24536721,0.420539467,0.557368791,0.860551174,0.727044263,2
0.270327905,0.131482799,0.05537432,0.301598634,0.262118149,0
0.456140567,0.683281336,0.695625446,0.283518847,0.379926956,0
0.181150962,0.788545512,0.056848076,0.696997242,0.778695396,2
0.777407562,0.259422564,0.373813138,0.587599635,0.272821902,1
0.370852799,0.19705428,0.459855884,0.044612301,0.799795885,0
0.076956447,0.518835149,0.3068101,0.577542949,0.959433341,2
0.645570244,0.035362436,0.43040244,0.510016852,0.536177495,0
0.681392511,0.277596098,0.128860565,0.392675677,0.956405723,0
0.187130892,0.903983955,0.54380595,0.456911422,0.88204141,2
0.458603962,0.724167637,0.399025322,0.904044393,0.69002502,2
0.699622054,0.327720402,0.756778643,0.636061055,0.240020273,1
0.160538822,0.796391475,0.959166603,0.458138827,0.590984165,1
0.857722644,0.457223453,0.951874477,0.575751162,0.820767121,1
0.908843718,0.815523819,0.159414463,0.628898439,0.398434259,1
0.062712952,0.424032252,0.258684067,0.849038308,0.033304627,2
0.958982722,0.355368848,0.35670689,0.016328503,0.185232325,0
0.401259501,0.929291417,0.09961493,0.945301533,0.869488531,2
0.454162397,0.326700882,0.232744129,0.614464706,0.033074591,2
0.015606064,0.428795722,0.068074074,0.251940988,0.221160915,2
0.253191194,0.131055231,0.012036223,0.115484297,0.61848026,0
0.974256213,0.990345002,0.409054095,0.162954426,0.638761757,0
0.490305347,0.989409777,0.065304207,0.783234438,0.288398497,2
0.24141862,0.662504572,0.246063185,0.665859118,0.517308517,2
0.424088988,0.554687809,0.28705152,0.706574706,0.414856869,2
