0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,label
0.158539181,0.930464049,0.916258775,0.340740915,0.061458907,0.311601063,0.551928342,0.183301154,0.318374761,0.529081192,0.954905121,0.946954771,0.823730283,0.237572628,0.78099088,0.633753899,0.522181495,0.685462093,0.604018493,0.652833348,0.265611212,0.811942538,0.539561187,0.952997691,0.731410198,0.793045018,0.462785536,0.962516646,0.597312223,0.58218165,0.599480454,0.059150531,0.620917407,0.081324014,0.471491984,0.720394922,0.874125069,0.089157509,0.350158637,0.177034281,0.013325386,0.457308815,0.317936877,0.867394001,0.104590297,0.310282655,0.688535821,0.908246595,0.542833139,0.18452514,1
0.686519956,0.913412221,0.049251273,0.599454881,0.37626126,0.74463387,0.50413273,0.224617357,0.517537704,0.601076775,0.338151579,0.971502935,0.594522023,0.901957427,0.459132801,0.289694195,0.077681098,0.913014161,0.309416552,0.779817559,0.584548734,0.898024508,0.170923822,0.583782925,0.14403765,0.503899499,0.224514699,0.352772294,0.120010082,0.091015755,0.577082925,0.358732113,0.870506842,0.330412329,0.92653678,0.423259629,0.253633074,0.342263661,0.570199702,0.035229759,0.432420736,0.964315922,0.90756001,0.279878952,0.712074775,0.2887623,0.382735145,0.318991403,0.294323226,0.889464698,1
0.910881118,0.215401575,0.268071858,0.21062894,0.755619556,0.607715261,0.529441136,0.624433435,0.649438192,0.940927701,0.643053204,0.2046842,0.794468582,0.269347305,0.351414395,0.909039496,0.25744956,0.174301207,0.458835491,0.067720461,0.075227871,0.433176021,0.058056181,0.452562622,0.784967985,0.021808046,0.945000385,0.106452329,0.812968277,0.518300015,0.396762879,0.908040773,0.753308491,0.082745372,0.221948608,0.021128241,0.679055414,0.381012951,0.230796529,0.029519668,0.258892877,0.38659577,0.293688313,0.289213123,0.860305455,0.5956261,0.419153465,0.870428535,0.355045101,0.951139146,0
0.717436723,0.577669104,0.711776811,0.118061039,0.154537803,0.447306541,0.202253528,0.587714361,0.642537557,0.714409786,0.706407825,0.853385898,0.616061519,0.016584014,0.519226259,0.042647233,0.531544287,0.516116036,0.854975513,0.064654367,0.222955345,0.946856809,0.383784718,0.368900816,0.143235692,0.66883739,0.190868689,0.538916113,0.607008783,0.465428833,0.15777584,0.116363413,0.274079615,0.485149654,0.307085676,0.701764577,0.702475356,0.263121254,0.047546026,0.265216915,0.943306508,0.058733885,0.220536805,0.112753801,0.910152492,0.273603197,0.698178819,0.450865321,0.445290043,0.173289984,0
0.884154188,0.695649421,0.746908228,0.931866866,0.048175521,0.713170999,0.469839362,0.526335156,0.776948681,0.297202006,0.596356195,0.269087844,0.063795312,0.925340034,0.867078009,0.720799602,0.014441374,0.831637244,0.811690331,0.68292249,0.883026103,0.334858962,0.60561908,0.298285944,0.379820471,0.04796997,0.065260109,0.372630013,0.349173969,0.597447532,0.676968284,0.749499426,0.660230269,0.496578798,0.385321547,0.352981821,0.068260415,0.551880327,0.527833675,0.086461776,0.905054436,0.136037711,0.52204246,0.96743403,0.347671534,0.892523961,0.794225106,0.938771461,0.474496767,0.813636206,1
0.654058125,0.255207145,0.536491098,0.106156012,0.824659842,0.380831863,0.49995779,0.23091486,0.098233358,0.305112893,0.787633591,0.098586669,0.570633845,0.411270892,0.291408061,0.615203206,0.91171067,0.383858416,0.492101185,0.081787459,0.159501047,0.476435921,0.809164225,0.399754545,0.954410403,0.21086783,0.366236422,0.732795593,0.623876786,0.552581234,0.855546264,0.272517575,0.408274304,0.936744303,0.372759834,0.376755974,0.426477791,0.286387428,0.482569214,0.295433315,0.156775147,0.422643958,0.981421565,0.647376164,0.064869958,0.658570006,0.595612173,0.57463225,0.281511985,0.396527593,1
0.394555413,0.95080566,0.647021216,0.053301395,0.439219509,0.93854046,0.47728462,0.370575726,0.315495001,0.948946989,0.750008669,0.349443474,0.36390005,0.644777385,0.888167821,0.601398021,0.91250102,0.498445868,0.321463134,0.317559716,0.811900324,0.20697851,0.441510185,0.058597835,0.913702138,0.345981978,0.38172049,0.791756975,0.19573314,0.766633128,0.194401916,0.472759667,0.028101074,0.754534246,0.120727486,0.647764418,0.372190765,0.976502347,0.29824898,0.018352874,0.510671569,0.169893519,0.268730712,0.499865919,0.430396202,0.313848585,0.881828688,0.38124832,0.988848062,0.254964469,0
0.898837743,0.055565456,0.033526064,0.918190599,0.249538548,0.83154501,0.290546761,0.355135748,0.468332161,0.49044251,0.304113408,0.120373529,0.533866295,0.823610884,0.073355051,0.805532283,0.227442698,0.138562473,0.277152234,0.897510672,0.007051035,0.269410713,0.398082285,0.351085396,0.064294315,0.09466715,0.750577923,0.111384135,0.210150516,0.294075307,0.24733866,0.571695628,0.273055293,0.298574613,0.166297241,0.532563129,0.224675185,0.97194111,0.037655401,0.772797696,0.283978215,0.508307888,0.253965486,0.560086197,0.450694345,0.079967743,0.95182957,0.805990931,0.481065708,0.050543441,1
0.533341104,0.838346663,0.752176146,0.075017662,0.523861797,0.99968398,0.59264811,0.158653238,0.958766322,0.493835269,0.52314215,0.720734451,0.60639358,0.592672807,0.865758299,0.336913169,0.105581569,0.838264571,0.304944995,0.517764999,0.70997176,0.874527629,0.301337868,0.884033946,0.663330142,0.33049569,0.719886814,0.209542047,0.226601489,0.629898527,0.260654306,0.658409591,0.605285041,0.879694487,0.801830066,0.076253694,0.364670879,0.493371327,0.759376681,0.95127021,0.551787334,0.44528177,0.299471714,0.04947442,0.101436452,0.311214909,0.820373323,0.141926658,0.414560862,0.592285293,1
0.398878446,0.93709485,0.870788954,0.180857701,0.151796165,0.623921894,0.185610332,0.923107226,0.9035099,0.924456771,0.494915028,0.23945823,0.091954525,0.726815929,0.234588718,0.982169108,0.563914396,0.2536823,0.375516837,0.336048604,0.989122793,0.17520902,0.55996722,0.313650576,0.34567338,0.630477052,0.132378717,0.327111016,0.724433168,0.536054389,0.048355483,0.672460982,0.827396791,0.649971128,0.850455582,0.930245663,0.5228503,0.545639064,0.515981973,0.40095838,0.604068704,0.162491897,0.664055937,0.174204789,0.222112948,0.299178416,0.752089528,0.687636044,0.24585853,0.78712672,0
