wavelength_nm,mean_normalized_absorbance
400.0,0.042088312555261534
401.0,0.03108591506636215
402.0,0.03964450447920019
403.0,0.028167722066932972
404.0,0.03395705968221314
405.0,0.030976373833190407
406.0,0.04037030144468791
407.0,0.03826686453033829
408.0,0.031980140535853165
409.0,0.03895338083454291
410.0,0.03585480764594128
411.0,0.034124545006262774
412.0,0.035593375274673836
413.0,0.03912220999682393
414.0,0.036358871968624105
415.0,0.03414103758994104
416.0,0.04204030729994421
417.0,0.04289835054884196
418.0,0.04209300642060971
419.0,0.04283404954908036
420.0,0.03966709377766551
421.0,0.04050831643982737
422.0,0.04732676603060847
423.0,0.037121226209023535
424.0,0.0368329058575647
425.0,0.04293616634438422
426.0,0.04495943576649737
427.0,0.04614196176860537
428.0,0.047083047340409204
429.0,0.050404341137995
430.0,0.04624432415241903
431.0,0.05193190078094197
432.0,0.0611870922175394
433.0,0.06231621692634145
434.0,0.05683071198761153
435.0,0.055382203166151396
436.0,0.06068451481040393
437.0,0.06669468576092226
438.0,0.07444902701248354
439.0,0.07361720228274136
440.0,0.07526241219005896
441.0,0.07535693488494839
442.0,0.0870696875426154
443.0,0.07955200674544904
444.0,0.08918157412783885
445.0,0.09548650202232643
446.0,0.1007233564187852
447.0,0.09996665155724062
448.0,0.10250241483158005
449.0,0.11429335695215677
450.0,0.11029931810846123
451.0,0.11930357038114581
452.0,0.12473304607645162
453.0,0.11996577488254534
454.0,0.134473878804468
455.0,0.14708395891620235
456.0,0.146568794896731
457.0,0.15884181603181532
458.0,0.16513215205994283
459.0,0.16915273703145542
460.0,0.18546444044397334
461.0,0.19245913515865043
462.0,0.2064672326273937
463.0,0.20692040523067978
464.0,0.21331606775756726
465.0,0.2343891379023872
466.0,0.24038517014728067
467.0,0.24961614157624396
468.0,0.2548695068697408
469.0,0.26890802095124655
470.0,0.28437897235962967
471.0,0.29369070660506297
472.0,0.3106372398896245
473.0,0.3157711354615896
474.0,0.34322598469370114
475.0,0.34397762024999656
476.0,0.36045325374093007
477.0,0.37058222043844874
478.0,0.3835167185116691
479.0,0.40407720186993784
480.0,0.40670257374857777
481.0,0.42863863728676665
482.0,0.4467541633120802
483.0,0.45923500527035094
484.0,0.48952688134250794
485.0,0.49970626980885435
486.0,0.5151063412942817
487.0,0.5357372263191891
488.0,0.5573129165261806
489.0,0.5687037424343813
490.0,0.5879707379266879
491.0,0.6060756664755526
492.0,0.6053000262684982
493.0,0.6357641841679192
494.0,0.6500869987808162
495.0,0.6649597711819577
496.0,0.6912565685334037
497.0,0.704109971863108
498.0,0.717873946598545
499.0,0.7265393898184729
500.0,0.7451527083882363
501.0,0.7647314122684308
502.0,0.7733427906546433
503.0,0.7926198794829333
504.0,0.8012619653567598
505.0,0.8236799158909955
506.0,0.8366033384559716
507.0,0.8373640264620953
508.0,0.8605475540653964
509.0,0.8732982111789568
510.0,0.8859451234661602
511.0,0.8961894737585557
512.0,0.9080399830310033
513.0,0.924820050429475
514.0,0.9214048131534003
515.0,0.9311140272276082
516.0,0.9450416698932144
517.0,0.9467307525864299
518.0,0.9611089514690997
519.0,0.9586935173352588
520.0,0.9781271679656046
521.0,0.96215495815017
522.0,0.9753402532625964
523.0,0.9833501258360307
524.0,0.9802404153955822
525.0,0.9746421294143326
526.0,0.9764087305622328
527.0,0.9770315485071305
528.0,0.979530546780711
529.0,0.977520843845155
530.0,0.9799525423683648
531.0,0.9670103232390305
532.0,0.9615771686565859
533.0,0.9511325146551621
534.0,0.9637268908410067
535.0,0.9472694488923712
536.0,0.9353917559183573
537.0,0.933506664674153
538.0,0.9250461475017356
539.0,0.9067541996496501
540.0,0.8892909236705445
541.0,0.8824340873926183
542.0,0.8729801560401025
543.0,0.8590452785626235
544.0,0.8537618453672648
545.0,0.8402049160435392
546.0,0.8254963642876068
547.0,0.8144120687680547
548.0,0.784617195229081
549.0,0.776321216444346
550.0,0.7598612095694737
551.0,0.7501834090808139
552.0,0.7290568675630936
553.0,0.7163100234183457
554.0,0.7066367543738575
555.0,0.6705414499461088
556.0,0.6633010211625303
557.0,0.6531515076562809
558.0,0.6302964524824012
559.0,0.6141762589601302
560.0,0.6048421253717564
561.0,0.586663114444911
562.0,0.5753452178900917
563.0,0.547488730165976
564.0,0.5368592510529989
565.0,0.5197157319781185
566.0,0.5007166153519499
567.0,0.48748246957405933
568.0,0.4742074131579059
569.0,0.45014360351889054
570.0,0.43202567997718494
571.0,0.42150063051821496
572.0,0.4027338319800797
573.0,0.39718602446662
574.0,0.3794888410067805
575.0,0.3610045546420335
576.0,0.34958369702899755
577.0,0.33172534190732905
578.0,0.3232952223047848
579.0,0.3086034335752341
580.0,0.2892884971980874
581.0,0.2840100405932372
582.0,0.27212078552360824
583.0,0.2616699608517982
584.0,0.25144426283385135
585.0,0.22915191229084292
586.0,0.22542189996893622
587.0,0.2245434014605715
588.0,0.21001222458281554
589.0,0.19861059570749431
590.0,0.19017865269475037
591.0,0.1831331436759346
592.0,0.17454784833919545
593.0,0.16518373517320095
594.0,0.15852119674908255
595.0,0.1547688060750275
596.0,0.14287748592971083
597.0,0.14435335450630393
598.0,0.14055597562177252
599.0,0.12632544401323167
600.0,0.1198099417282073
601.0,0.11539659042184965
602.0,0.11106554033311355
603.0,0.10187128079927445
604.0,0.09469124190994835
605.0,0.08747634053496374
606.0,0.09362660082720639
607.0,0.09163222004217658
608.0,0.08921310814418221
609.0,0.08439080573046442
610.0,0.08016155939854742
611.0,0.06813909248147672
612.0,0.06620782584351612
613.0,0.06762474085314361
614.0,0.06488627698762355
615.0,0.06467594763320669
616.0,0.060894665242179874
617.0,0.057671475388020886
618.0,0.053582252195895054
619.0,0.059023270860056015
620.0,0.04787484829402374
621.0,0.05082583429291474
622.0,0.04581800194899047
623.0,0.05170503089125336
624.0,0.05598418751334393
625.0,0.04467481437052092
626.0,0.039194120316193425
627.0,0.04795493626596341
628.0,0.03495748512340236
629.0,0.04601008738862883
630.0,0.04538282713085988
631.0,0.041514962051386294
632.0,0.03696726353816802
633.0,0.04215555620147725
634.0,0.03142330757568059
635.0,0.03155091810509697
636.0,0.03481114990084889
637.0,0.0365047419441927
638.0,0.03716312968738421
639.0,0.030470884859595097
640.0,0.02788709340954554
641.0,0.024352894597733758
642.0,0.03893221397522659
643.0,0.029158402020295085
644.0,0.03527152569079688
