wavelength_nm,absorbance
400.0,0.04048849083615702
401.0,0.04293404545414098
402.0,0.008415634761307994
403.0,0.016400778496488157
404.0,0.03377958546081354
405.0,0.028690575166946092
406.0,0.03254712743320781
407.0,0.02280072388764067
408.0,0.04390591668335836
409.0,0.043032187444614796
410.0,0.03486867652309857
411.0,0.04801549622184344
412.0,0.0405484346468176
413.0,0.025116894212032285
414.0,0.040386970634356395
415.0,0.025035708924879954
416.0,0.04771432537134512
417.0,0.03725841884827817
418.0,0.03638168806146431
419.0,0.031233413626157936
420.0,0.054945967083927925
421.0,0.03936296163267475
422.0,0.03709496652013425
423.0,0.039107654582050046
424.0,0.05090536242504294
425.0,0.050178917762470826
426.0,0.052119600871485275
427.0,0.05381314645783449
428.0,0.07592903326764634
429.0,0.04705418647526521
430.0,0.04760878238592968
431.0,0.045944489695524886
432.0,0.06519225882951868
433.0,0.07358294459677422
434.0,0.06105426470440942
435.0,0.054885452332982934
436.0,0.05778652585621484
437.0,0.07837576325698907
438.0,0.08255968527671345
439.0,0.08342249972304894
440.0,0.07238307976582625
441.0,0.08682881384320247
442.0,0.08933459177174312
443.0,0.09467662301573487
444.0,0.10686274278350084
445.0,0.10368593213432983
446.0,0.11399954998144
447.0,0.11177453245599701
448.0,0.1198136704848243
449.0,0.1295783147394225
450.0,0.11046167889259195
451.0,0.13035013305985416
452.0,0.1350818910519139
453.0,0.13990880362530164
454.0,0.15143829550582522
455.0,0.18016612214899777
456.0,0.15965183597826335
457.0,0.18980977250058556
458.0,0.1664831694722825
459.0,0.1914890043758443
460.0,0.20663714443184894
461.0,0.22124462367844408
462.0,0.23262201662893164
463.0,0.2438376081013761
464.0,0.24071612366333142
465.0,0.25028874682151253
466.0,0.27742014128299364
467.0,0.2764651110116402
468.0,0.2754342319280246
469.0,0.28946551426726286
470.0,0.304689106430386
471.0,0.33467425124333366
472.0,0.34372338469868535
473.0,0.3639169572769195
474.0,0.36442136819481136
475.0,0.3856568100201028
476.0,0.40574301522141804
477.0,0.4092667601152091
478.0,0.43344905988717275
479.0,0.4352425282279361
480.0,0.45425785799496143
481.0,0.46965419437831657
482.0,0.4756766785597635
483.0,0.5118115790684965
484.0,0.5164028192562873
485.0,0.5383559151957334
486.0,0.5602228326004102
487.0,0.5761116139830748
488.0,0.5950616831336222
489.0,0.602215595183941
490.0,0.6146059990624375
491.0,0.6349554339022343
492.0,0.631798683866278
493.0,0.6506934437303842
494.0,0.6680447445452696
495.0,0.6876231877886639
496.0,0.7198432424473079
497.0,0.7193867464936606
498.0,0.740639706965579
499.0,0.775380095340449
500.0,0.7697804906617342
501.0,0.7967950874472612
502.0,0.7902223883544695
503.0,0.8120023238615349
504.0,0.815639789686147
505.0,0.8350454051820863
506.0,0.8607439225895298
507.0,0.840923842293891
508.0,0.8772747048430859
509.0,0.8847174591654428
510.0,0.8839068031800809
511.0,0.8822020976430373
512.0,0.9082634821010076
513.0,0.90819238494927
514.0,0.9237739419197291
515.0,0.926950387450152
516.0,0.9508720770653465
517.0,0.9329845438113185
518.0,0.9270136150164171
519.0,0.9441094877809115
520.0,0.9464776731315591
521.0,0.9612395665073972
522.0,0.9552514930546598
523.0,0.9490219127681596
524.0,0.9610181289093793
525.0,0.9271254242759998
526.0,0.9308640554284734
527.0,0.923798425397724
528.0,0.9258509941767249
529.0,0.9088662460168002
530.0,0.9271256226085924
531.0,0.9102290382857552
532.0,0.887929276989836
533.0,0.8853850615448319
534.0,0.8926571458968497
535.0,0.8896270114962097
536.0,0.893579400255778
537.0,0.8940331726666475
538.0,0.8529126718846861
539.0,0.8243898131165885
540.0,0.7984836786315448
541.0,0.814592992456755
542.0,0.7884752636864389
543.0,0.7796645791683596
544.0,0.7633211353934576
545.0,0.7546247427989068
546.0,0.7544161775504139
547.0,0.7285134019990369
548.0,0.7094559315421155
549.0,0.6834208761489644
550.0,0.6600321560388932
551.0,0.658394557613131
552.0,0.6475405374692141
553.0,0.6532416315146251
554.0,0.6173457699361156
555.0,0.6112768053643818
556.0,0.5771686036009043
557.0,0.5526203575377597
558.0,0.5389688357451289
559.0,0.525615902024833
560.0,0.5437122828151147
561.0,0.4922744903958608
562.0,0.49628565776668104
563.0,0.4596360830045484
564.0,0.4660736999104595
565.0,0.44413427287401436
566.0,0.42247067305431996
567.0,0.4089298349505101
568.0,0.3868798846683834
569.0,0.38567348611283725
570.0,0.3607229987099404
571.0,0.3376293107207233
572.0,0.32345814902122116
573.0,0.3276345120723994
574.0,0.3316048152306943
575.0,0.3019978519482177
576.0,0.2864130787671064
577.0,0.2793674275698386
578.0,0.28005661940462856
579.0,0.2558138244816315
580.0,0.23739849833875515
581.0,0.24510644185656083
582.0,0.22683062324371528
583.0,0.23032175192427395
584.0,0.20464968352277813
585.0,0.1786641699610991
586.0,0.16819247598637738
587.0,0.19601598269014112
588.0,0.18882072514804593
589.0,0.15824676997195583
590.0,0.1483937818121582
591.0,0.16344103840945703
592.0,0.12584490934139392
593.0,0.12192557332200481
594.0,0.1342148026041606
595.0,0.11588428486615564
596.0,0.11496689804917457
597.0,0.10775184761431668
598.0,0.10871649909468785
599.0,0.1167669743989361
600.0,0.0964263399087123
601.0,0.09877057937114461
602.0,0.06237838806495707
603.0,0.08255739325019293
604.0,0.06940052948813422
605.0,0.061477878348108264
606.0,0.06234863337727702
607.0,0.06584981057851307
608.0,0.07800459461758874
609.0,0.048424943863420375
610.0,0.0622024815100836
611.0,0.053675579134856315
612.0,0.053353998353375745
613.0,0.0672618776384169
614.0,0.059763821119712554
615.0,0.06756072469864728
616.0,0.04798438943766635
617.0,0.03992802365434807
618.0,0.044141875924738935
619.0,0.04838879779871561
620.0,0.046344255641459706
621.0,0.030049457252301078
622.0,0.04306948349650613
623.0,0.0437233815461293
624.0,0.07026993371380214
625.0,0.0617278086569472
626.0,0.02817748937996494
627.0,0.03423956081821562
628.0,0.01945554944025801
629.0,0.029310140682806504
630.0,0.03961708080377006
